Date,Hour,Street,Average
11/1/2017,16,Southbank,3256
11/1/2017,17,Flinders St Station Underpass,4939
11/1/2017,18,Southbank,3725
11/1/2017,19,Southbank,2751
11/1/2017,20,Southbank,2225
11/1/2017,21,Southbank,2417
12/1/2017,10,Southbank,1696
12/1/2017,11,Vic Arts Centre,2343
12/1/2017,12,Southbank,3952
12/1/2017,13,Southbank,3993
12/1/2017,14,Bourke Street Mall (North),3349
12/1/2017,15,Bourke Street Mall (North),3063
12/1/2017,16,Bourke Street Mall (North),3114
12/1/2017,17,Flinders St Station Underpass,4964
12/1/2017,18,Southbank,3505
12/1/2017,19,Southbank,2618
12/1/2017,20,Southbank,2640
12/1/2017,21,Southbank,2622
13/1/2017,10,Spencer St-Collins St (North),1428
13/1/2017,11,Bourke Street Mall (North),1896
13/1/2017,12,Southbank,3374
13/1/2017,13,Bourke Street Mall (North),3815
13/1/2017,14,Bourke Street Mall (North),3117
13/1/2017,15,Bourke Street Mall (North),2964
13/1/2017,16,Spencer St-Collins St (North),2931
13/1/2017,17,Flinders St Station Underpass,4068
13/1/2017,18,Southbank,3102
13/1/2017,19,Southbank,2782
13/1/2017,20,Southbank,2667
13/1/2017,21,Southbank,2399
14/1/2017,10,Southbank,1425
14/1/2017,11,Princes Bridge,2284
14/1/2017,12,Bourke Street Mall (South),2537
14/1/2017,13,Vic Arts Centre,2994
14/1/2017,14,Southbank,3160
14/1/2017,15,Bourke Street Mall (South),3261
14/1/2017,16,Bourke Street Mall (North),3134
14/1/2017,17,Southbank,3421
14/1/2017,18,Southbank,3309
14/1/2017,19,Southbank,3778
14/1/2017,20,Southbank,3336
14/1/2017,21,Southbank,3321
15/1/2017,10,Princes Bridge,1601
15/1/2017,11,Southbank,2275
15/1/2017,12,Southbank,2787
15/1/2017,13,St-Kilda-Alexandra Gardens,3902
15/1/2017,14,St-Kilda-Alexandra Gardens,4451
15/1/2017,15,St-Kilda-Alexandra Gardens,4592
15/1/2017,16,St-Kilda-Alexandra Gardens,4458
15/1/2017,17,St-Kilda-Alexandra Gardens,4405
15/1/2017,18,St-Kilda-Alexandra Gardens,3559
15/1/2017,19,St-Kilda-Alexandra Gardens,3663
15/1/2017,20,Southbank,2992
15/1/2017,21,St-Kilda-Alexandra Gardens,2793
16/1/2017,10,Birrarung Marr,3888
16/1/2017,11,Birrarung Marr,2386
16/1/2017,12,Southbank,3661
16/1/2017,13,Bourke Street Mall (North),3857
16/1/2017,14,Bourke Street Mall (North),2999
16/1/2017,15,Bourke Street Mall (North),3032
16/1/2017,16,Spencer St-Collins St (North),3052
16/1/2017,17,Flinders St Station Underpass,5013
16/1/2017,18,Birrarung Marr,3912
16/1/2017,19,Southbank,2588
16/1/2017,20,Birrarung Marr,2966
16/1/2017,21,Southbank,2218
17/1/2017,10,Birrarung Marr,2973
17/1/2017,11,Southbank,1900
17/1/2017,12,Southbank,3039
17/1/2017,13,Bourke Street Mall (South),3041
17/1/2017,14,Bourke Street Mall (South),1997
17/1/2017,15,Spencer St-Collins St (North),2056
17/1/2017,16,Spencer St-Collins St (North),3072
17/1/2017,17,Flinders St Station Underpass,4857
17/1/2017,18,Birrarung Marr,4318
17/1/2017,19,Birrarung Marr,3030
17/1/2017,20,Southbank,2270
17/1/2017,21,Southbank,2215
18/1/2017,10,Birrarung Marr,4398
18/1/2017,11,Birrarung Marr,2821
18/1/2017,12,Southbank,3704
18/1/2017,13,Southbank,3822
18/1/2017,14,Bourke Street Mall (North),2947
18/1/2017,15,Bourke Street Mall (North),3080
18/1/2017,16,Southbank,3393
18/1/2017,17,Flinders St Station Underpass,5012
18/1/2017,18,Birrarung Marr,4935
18/1/2017,19,Birrarung Marr,3043
18/1/2017,20,Southbank,2346
18/1/2017,21,Birrarung Marr,2290
19/1/2017,10,Birrarung Marr,4323
19/1/2017,11,Birrarung Marr,2996
19/1/2017,12,Southbank,4011
19/1/2017,13,Southbank,4261
19/1/2017,14,Bourke Street Mall (North),3306
19/1/2017,15,Bourke Street Mall (North),3085
19/1/2017,16,Southbank,3406
19/1/2017,17,Southbank,5221
19/1/2017,18,Birrarung Marr,4392
19/1/2017,19,Birrarung Marr,4455
19/1/2017,20,Southbank,2673
19/1/2017,21,Birrarung Marr,2653
20/1/2017,10,Birrarung Marr,2998
20/1/2017,11,Birrarung Marr,2323
20/1/2017,12,Bourke Street Mall (North),3241
20/1/2017,13,Bourke Street Mall (North),3310
20/1/2017,14,Vic Arts Centre,2732
20/1/2017,15,Vic Arts Centre,3996
20/1/2017,16,City Square,6118
20/1/2017,17,City Square,7193
20/1/2017,18,City Square,5998
20/1/2017,19,City Square,4270
20/1/2017,20,City Square,2783
20/1/2017,21,City Square,2610
21/1/2017,10,Birrarung Marr,4349
21/1/2017,11,Birrarung Marr,4041
21/1/2017,12,Birrarung Marr,3136
21/1/2017,13,Vic Arts Centre,3661
21/1/2017,14,Southbank,3506
21/1/2017,15,Southbank,3507
21/1/2017,16,Birrarung Marr,4187
21/1/2017,17,Birrarung Marr,5622
21/1/2017,18,Birrarung Marr,5856
21/1/2017,19,Southbank,3725
21/1/2017,20,Birrarung Marr,4597
21/1/2017,21,Southbank,3755
22/1/2017,10,Birrarung Marr,3026
22/1/2017,11,Birrarung Marr,3085
22/1/2017,12,Southbank,3247
22/1/2017,13,Bourke Street Mall (North),3469
22/1/2017,14,Bourke Street Mall (North),3398
22/1/2017,15,Southbank,3437
22/1/2017,16,Southbank,3139
22/1/2017,17,Southbank,3193
22/1/2017,18,Birrarung Marr,4032
22/1/2017,19,Southbank,2931
22/1/2017,20,Southbank,2953
22/1/2017,21,Southbank,2420
23/1/2017,10,Birrarung Marr,2108
23/1/2017,11,Bourke Street Mall (North),2191
23/1/2017,12,Bourke Street Mall (South),3949
23/1/2017,13,Bourke Street Mall (South),3988
23/1/2017,14,Bourke Street Mall (North),2784
23/1/2017,15,Bourke Street Mall (South),2411
23/1/2017,16,Spencer St-Collins St (North),3073
23/1/2017,17,Flinders St Station Underpass,5149
23/1/2017,18,Southbank,3298
23/1/2017,19,Southbank,2532
23/1/2017,20,Southbank,1813
23/1/2017,21,Southbank,1405
24/1/2017,10,Southbank,2099
24/1/2017,11,Bourke Street Mall (North),2441
24/1/2017,12,Bourke Street Mall (South),3974
24/1/2017,13,Southbank,4391
24/1/2017,14,Bourke Street Mall (South),3337
24/1/2017,15,Bourke Street Mall (South),3025
24/1/2017,16,Southbank,3564
24/1/2017,17,Southbank,5186
24/1/2017,18,Southbank,4055
24/1/2017,19,Southbank,2924
24/1/2017,20,Southbank,2348
24/1/2017,21,Southbank,2360
