Date,Hour,Street,Average
24/2/2017,16,Spencer St-Collins St (North),3399
24/2/2017,17,Flinders St Station Underpass,4857
24/2/2017,18,Southbank,3644
24/2/2017,19,Southbank,3120
24/2/2017,20,Southbank,2720
24/2/2017,21,Southbank,2798
25/2/2017,10,Southbank,1574
25/2/2017,11,Bourke Street Mall (North),2355
25/2/2017,12,Bourke Street Mall (North),3095
25/2/2017,13,Bourke Street Mall (North),3532
25/2/2017,14,Bourke Street Mall (North),3693
25/2/2017,15,Bourke Street Mall (North),3931
25/2/2017,16,Bourke Street Mall (North),3898
25/2/2017,17,Southbank,3842
25/2/2017,18,Southbank,3727
25/2/2017,19,Southbank,4016
25/2/2017,20,Southbank,3719
25/2/2017,21,Southbank,3427
26/2/2017,10,Southbank,1891
26/2/2017,11,Southbank,2598
26/2/2017,12,Southbank,3300
26/2/2017,13,Southbank,3944
26/2/2017,14,Southbank,4194
26/2/2017,15,Southbank,4005
26/2/2017,16,Princes Bridge,4307
26/2/2017,17,Southbank,3220
26/2/2017,18,Southbank,2765
26/2/2017,19,Southbank,2541
26/2/2017,20,Southbank,2531
26/2/2017,21,Southbank,1765
27/2/2017,10,Spencer St-Collins St (North),1902
27/2/2017,11,Bourke Street Mall (North),2174
27/2/2017,12,Bourke Street Mall (North),3292
27/2/2017,13,Bourke Street Mall (North),3727
27/2/2017,14,Bourke Street Mall (North),2971
27/2/2017,15,Bourke Street Mall (North),2988
27/2/2017,16,Spencer St-Collins St (North),3500
27/2/2017,17,Flinders St Station Underpass,5232
27/2/2017,18,Flinders St Station Underpass,3117
27/2/2017,19,Southbank,2374
27/2/2017,20,Southbank,2092
27/2/2017,21,Southbank,1707
28/2/2017,10,Spencer St-Collins St (North),1822
28/2/2017,11,Bourke Street Mall (North),2030
28/2/2017,12,Bourke Street Mall (North),3257
28/2/2017,13,Bourke Street Mall (North),3464
28/2/2017,14,Bourke Street Mall (North),2880
28/2/2017,15,Bourke Street Mall (North),2913
28/2/2017,16,Spencer St-Collins St (North),3664
28/2/2017,17,Flinders St Station Underpass,4895
28/2/2017,18,Southbank,3314
28/2/2017,19,Southbank,2754
28/2/2017,20,Southbank,2452
28/2/2017,21,Southbank,2271
1/3/2017,10,Spencer St-Collins St (North),1777
1/3/2017,11,Bourke Street Mall (North),2144
1/3/2017,12,Bourke Street Mall (North),3300
1/3/2017,13,Bourke Street Mall (North),3703
1/3/2017,14,Bourke Street Mall (North),3110
1/3/2017,15,Bourke Street Mall (North),2887
1/3/2017,16,Spencer St-Collins St (North),3429
1/3/2017,17,Flinders St Station Underpass,4892
1/3/2017,18,Southbank,3220
1/3/2017,19,Southbank,2687
1/3/2017,20,Southbank,2350
1/3/2017,21,Southbank,1939
2/3/2017,10,Spencer St-Collins St (North),1872
2/3/2017,11,Bourke Street Mall (North),1932
2/3/2017,12,Bourke Street Mall (North),3402
2/3/2017,13,Bourke Street Mall (North),3716
2/3/2017,14,Bourke Street Mall (North),2866
2/3/2017,15,Bourke Street Mall (North),3023
2/3/2017,16,Spencer St-Collins St (North),3740
2/3/2017,17,Flinders St Station Underpass,5374
2/3/2017,18,Southbank,3442
2/3/2017,19,Melbourne Central,2568
2/3/2017,20,Melbourne Central,2334
2/3/2017,21,Melbourne Central,2080
3/3/2017,10,Spencer St-Collins St (North),1873
3/3/2017,11,Bourke Street Mall (North),2046
3/3/2017,12,Southbank,3518
3/3/2017,13,Bourke Street Mall (North),3710
3/3/2017,14,Bourke Street Mall (North),3201
3/3/2017,15,Bourke Street Mall (North),3329
3/3/2017,16,Flinders St Station Underpass,3785
3/3/2017,17,Flinders St Station Underpass,5115
3/3/2017,18,Southbank,3853
3/3/2017,19,Southbank,3337
3/3/2017,20,Southbank,3218
3/3/2017,21,Southbank,3022
4/3/2017,10,Bourke Street Mall (North),1625
4/3/2017,11,Bourke Street Mall (North),2477
4/3/2017,12,Bourke Street Mall (North),3081
4/3/2017,13,Bourke Street Mall (North),3584
4/3/2017,14,Bourke Street Mall (North),4025
4/3/2017,15,Bourke Street Mall (North),4105
4/3/2017,16,Bourke Street Mall (North),3893
4/3/2017,17,Bourke Street Mall (North),3578
4/3/2017,18,Southbank,3607
4/3/2017,19,Southbank,4002
4/3/2017,20,Southbank,3991
4/3/2017,21,Southbank,3364
5/3/2017,10,Southbank,1495
5/3/2017,11,Southbank,1972
5/3/2017,12,Bourke Street Mall (North),2720
5/3/2017,13,Bourke Street Mall (North),3367
5/3/2017,14,Bourke Street Mall (North),3511
5/3/2017,15,Bourke Street Mall (North),3448
5/3/2017,16,Bourke Street Mall (North),3088
5/3/2017,17,Southbank,2779
5/3/2017,18,Southbank,2538
5/3/2017,19,Melbourne Central,2242
5/3/2017,20,Southbank,1926
5/3/2017,21,Melbourne Central,1511
6/3/2017,10,Princes Bridge,2297
6/3/2017,11,Bourke Street Mall (North),2070
6/3/2017,12,Southbank,3393
6/3/2017,13,Bourke Street Mall (North),3806
6/3/2017,14,Bourke Street Mall (North),3055
6/3/2017,15,Bourke Street Mall (North),2880
6/3/2017,16,Spencer St-Collins St (North),3589
6/3/2017,17,Flinders St Station Underpass,5079
6/3/2017,18,Southbank,3064
6/3/2017,19,Southbank,2335
6/3/2017,20,Melbourne Central,2075
6/3/2017,21,Melbourne Central,1629
7/3/2017,10,Spencer St-Collins St (North),1812
7/3/2017,11,Bourke Street Mall (North),1958
7/3/2017,12,Bourke Street Mall (North),3346
7/3/2017,13,Bourke Street Mall (North),3795
7/3/2017,14,Bourke Street Mall (North),2988
7/3/2017,15,Bourke Street Mall (North),3012
7/3/2017,16,Spencer St-Collins St (North),3641
7/3/2017,17,Flinders St Station Underpass,5360
7/3/2017,18,Southbank,3487
7/3/2017,19,Melbourne Central,2574
7/3/2017,20,Melbourne Central,2248
7/3/2017,21,Melbourne Central,1867
8/3/2017,10,Spencer St-Collins St (North),1888
8/3/2017,11,Bourke Street Mall (North),2153
8/3/2017,12,Bourke Street Mall (North),3468
8/3/2017,13,Bourke Street Mall (North),3932
8/3/2017,14,Bourke Street Mall (North),3027
8/3/2017,15,Bourke Street Mall (North),2995
8/3/2017,16,Spencer St-Collins St (North),3606
8/3/2017,17,Flinders St Station Underpass,5071
8/3/2017,18,Southbank,3425
8/3/2017,19,Melbourne Central,2960
8/3/2017,20,Melbourne Central,2456
8/3/2017,21,Melbourne Central,1883
9/3/2017,10,Spencer St-Collins St (North),1798
9/3/2017,11,Bourke Street Mall (North),2255
9/3/2017,12,Bourke Street Mall (North),3665
9/3/2017,13,Bourke Street Mall (North),3836
9/3/2017,14,Bourke Street Mall (North),3012
9/3/2017,15,Bourke Street Mall (North),2902
9/3/2017,16,Spencer St-Collins St (North),3577
9/3/2017,17,Flinders St Station Underpass,4973
9/3/2017,18,Southbank,3431
9/3/2017,19,Southbank,2508
9/3/2017,20,Melbourne Central,2272
9/3/2017,21,Melbourne Central,2240
10/3/2017,10,Spencer St-Collins St (North),1876
10/3/2017,11,Bourke Street Mall (North),2409
10/3/2017,12,Southbank,3606
10/3/2017,13,Bourke Street Mall (North),4158
10/3/2017,14,Bourke Street Mall (North),3360
10/3/2017,15,Bourke Street Mall (North),3401
10/3/2017,16,Spencer St-Collins St (North),3765
10/3/2017,17,Flinders St Station Underpass,4726
10/3/2017,18,Southbank,4136
10/3/2017,19,Southbank,3362
10/3/2017,20,Southbank,3499
10/3/2017,21,Birrarung Marr,3517
11/3/2017,10,Southbank,1825
11/3/2017,11,Bourke Street Mall (North),2657
11/3/2017,12,Bourke Street Mall (North),3120
11/3/2017,13,Bourke Street Mall (North),3676
11/3/2017,14,St-Kilda-Alexandra Gardens,4369
11/3/2017,15,Birrarung Marr,4310
11/3/2017,16,Birrarung Marr,4903
11/3/2017,17,Birrarung Marr,4711
11/3/2017,18,Birrarung Marr,5096
11/3/2017,19,Birrarung Marr,6057
11/3/2017,20,Birrarung Marr,6316
11/3/2017,21,Birrarung Marr,6458
12/3/2017,10,St-Kilda-Alexandra Gardens,2441
12/3/2017,11,St-Kilda-Alexandra Gardens,4531
12/3/2017,12,St-Kilda-Alexandra Gardens,4947
12/3/2017,13,Birrarung Marr,6100
12/3/2017,14,Birrarung Marr,6220
12/3/2017,15,Birrarung Marr,5820
12/3/2017,16,Birrarung Marr,5673
12/3/2017,17,Birrarung Marr,5800
12/3/2017,18,Birrarung Marr,6271
12/3/2017,19,Birrarung Marr,6576
12/3/2017,20,Birrarung Marr,7665
12/3/2017,21,Birrarung Marr,7054
13/3/2017,10,St-Kilda-Alexandra Gardens,6113
13/3/2017,11,St-Kilda-Alexandra Gardens,5308
13/3/2017,12,Vic Arts Centre,5153
13/3/2017,13,Birrarung Marr,6081
13/3/2017,14,Birrarung Marr,6847
13/3/2017,15,Birrarung Marr,6123
13/3/2017,16,Birrarung Marr,5632
13/3/2017,17,Birrarung Marr,5149
13/3/2017,18,Birrarung Marr,5053
13/3/2017,19,Birrarung Marr,5376
13/3/2017,20,Birrarung Marr,5333
13/3/2017,21,Birrarung Marr,5342
14/3/2017,10,Spencer St-Collins St (North),1785
14/3/2017,11,Bourke Street Mall (North),1964
14/3/2017,12,Bourke Street Mall (North),3451
14/3/2017,13,Bourke Street Mall (North),3693
14/3/2017,14,Bourke Street Mall (North),2821
14/3/2017,15,Bourke Street Mall (North),2618
14/3/2017,16,Spencer St-Collins St (North),3482
14/3/2017,17,Flinders St Station Underpass,4869
14/3/2017,18,Southbank,3204
14/3/2017,19,Melbourne Central,2293
14/3/2017,20,Melbourne Central,2213
14/3/2017,21,Melbourne Central,1598
15/3/2017,10,Spencer St-Collins St (North),1827
15/3/2017,11,Bourke Street Mall (North),2380
15/3/2017,12,Bourke Street Mall (North),3355
15/3/2017,13,Bourke Street Mall (North),3592
15/3/2017,14,Bourke Street Mall (North),2861
15/3/2017,15,Bourke Street Mall (North),2566
15/3/2017,16,Spencer St-Collins St (North),3546
15/3/2017,17,Flinders St Station Underpass,4948
15/3/2017,18,Flinders St Station Underpass,3173
15/3/2017,19,Melbourne Central,2452
15/3/2017,20,Melbourne Central,2136
15/3/2017,21,Melbourne Central,1635
16/3/2017,10,Spencer St-Collins St (North),1755
16/3/2017,11,Bourke Street Mall (North),1717
16/3/2017,12,Southbank,2925
16/3/2017,13,Bourke Street Mall (South),3074
16/3/2017,14,Bourke Street Mall (North),2505
16/3/2017,15,Bourke Street Mall (North),2672
16/3/2017,16,Spencer St-Collins St (North),3396
16/3/2017,17,Flinders St Station Underpass,4921
16/3/2017,18,Southbank,3253
16/3/2017,19,Southbank,2465
16/3/2017,20,Melbourne Central,2154
16/3/2017,21,Melbourne Central,1937
17/3/2017,10,Spencer St-Collins St (North),1781
17/3/2017,11,Bourke Street Mall (North),2192
17/3/2017,12,Southbank,3819
17/3/2017,13,Bourke Street Mall (North),3998
17/3/2017,14,Bourke Street Mall (North),3349
17/3/2017,15,Bourke Street Mall (North),3321
17/3/2017,16,Flinders St Station Underpass,3767
17/3/2017,17,Flinders St Station Underpass,5349
17/3/2017,18,Southbank,4436
17/3/2017,19,Southbank,4024
17/3/2017,20,Southbank,3618
17/3/2017,21,Southbank,3461
18/3/2017,10,Southbank,1877
18/3/2017,11,Bourke Street Mall (North),2726
18/3/2017,12,Bourke Street Mall (North),3532
18/3/2017,13,Bourke Street Mall (North),4019
18/3/2017,14,Bourke Street Mall (North),4104
18/3/2017,15,Bourke Street Mall (North),4193
18/3/2017,16,Bourke Street Mall (North),4037
18/3/2017,17,Southbank,3702
18/3/2017,18,Southbank,3601
18/3/2017,19,Southbank,3941
18/3/2017,20,Southbank,3673
18/3/2017,21,Southbank,3161
19/3/2017,10,Southbank,2088
19/3/2017,11,Southbank,2609
19/3/2017,12,Bourke Street Mall (North),3225
19/3/2017,13,Bourke Street Mall (North),3541
19/3/2017,14,Bourke Street Mall (North),3614
19/3/2017,15,Bourke Street Mall (North),3501
19/3/2017,16,Bourke Street Mall (North),3239
19/3/2017,17,Bourke Street Mall (North),2839
19/3/2017,18,Spencer St-Collins St (North),2954
19/3/2017,19,Southbank,2232
19/3/2017,20,Southbank,2083
19/3/2017,21,Southbank,1479
20/3/2017,10,Spencer St-Collins St (North),1740
20/3/2017,11,Bourke Street Mall (North),1889
20/3/2017,12,Bourke Street Mall (North),3125
20/3/2017,13,Bourke Street Mall (North),3511
20/3/2017,14,Bourke Street Mall (North),3019
20/3/2017,15,Bourke Street Mall (North),2854
20/3/2017,16,Spencer St-Collins St (North),3536
20/3/2017,17,Flinders St Station Underpass,5090
20/3/2017,18,Spencer St-Collins St (North),2982
20/3/2017,19,Melbourne Central,2133
20/3/2017,20,Southbank,1932
20/3/2017,21,Melbourne Central,1390
21/3/2017,10,Spencer St-Collins St (North),1627
21/3/2017,11,Bourke Street Mall (North),1985
21/3/2017,12,Bourke Street Mall (North),3138
21/3/2017,13,Bourke Street Mall (North),3095
21/3/2017,14,Bourke Street Mall (North),2145
21/3/2017,15,Bourke Street Mall (North),2322
21/3/2017,16,Spencer St-Collins St (North),3455
21/3/2017,17,Flinders St Station Underpass,4861
21/3/2017,18,Spencer St-Collins St (North),2862
21/3/2017,19,Melbourne Central,2215
21/3/2017,20,Melbourne Central,2005
21/3/2017,21,Melbourne Central,1494
22/3/2017,10,Spencer St-Collins St (North),1830
22/3/2017,11,Bourke Street Mall (North),1956
22/3/2017,12,Bourke Street Mall (North),2877
22/3/2017,13,Bourke Street Mall (North),3165
22/3/2017,14,Melbourne Central,2720
22/3/2017,15,Bourke Street Mall (North),2609
22/3/2017,16,Spencer St-Collins St (North),3491
22/3/2017,17,Flinders St Station Underpass,5104
22/3/2017,18,Southbank,3408
22/3/2017,19,Melbourne Central,2467
22/3/2017,20,Melbourne Central,2089
22/3/2017,21,Melbourne Central,1769
23/3/2017,10,Spencer St-Collins St (North),1860
23/3/2017,11,Bourke Street Mall (North),2161
23/3/2017,12,Southbank,3513
23/3/2017,13,Bourke Street Mall (North),3919
23/3/2017,14,Bourke Street Mall (North),3025
23/3/2017,15,Bourke Street Mall (North),2953
23/3/2017,16,Spencer St-Collins St (North),3703
23/3/2017,17,Flinders St Station Underpass,5427
23/3/2017,18,Southbank,4576
23/3/2017,19,Southbank,2662
23/3/2017,20,Southbank,2230
23/3/2017,21,Melbourne Central,1918
24/3/2017,10,Spencer St-Collins St (North),2251
24/3/2017,11,Bourke Street Mall (North),2328
24/3/2017,12,Southbank,3744
24/3/2017,13,Bourke Street Mall (North),3937
24/3/2017,14,Bourke Street Mall (North),3170
24/3/2017,15,Bourke Street Mall (North),3306
24/3/2017,16,Southbank,3418
24/3/2017,17,Flinders St Station Underpass,5192
24/3/2017,18,Southbank,5056
24/3/2017,19,Birrarung Marr,4184
24/3/2017,20,Southbank,3238
24/3/2017,21,Southbank,2989
25/3/2017,10,Spencer St-Collins St (North),1924
25/3/2017,11,Bourke Street Mall (North),2633
25/3/2017,12,Bourke Street Mall (North),2927
25/3/2017,13,Bourke Street Mall (North),3217
25/3/2017,14,Bourke Street Mall (North),3604
25/3/2017,15,Bourke Street Mall (North),3570
25/3/2017,16,Southbank,3517
25/3/2017,17,Birrarung Marr,5051
25/3/2017,18,Birrarung Marr,5086
25/3/2017,19,Princes Bridge,4566
25/3/2017,20,Southbank,4371
25/3/2017,21,Southbank,3469
26/3/2017,10,Southbank,1935
26/3/2017,11,Southbank,2420
26/3/2017,12,Southbank,2763
26/3/2017,13,Bourke Street Mall (North),2926
26/3/2017,14,Southbank,3090
26/3/2017,15,Bourke Street Mall (North),3082
26/3/2017,16,Bourke Street Mall (North),2996
26/3/2017,17,Princes Bridge,3008
26/3/2017,18,Princes Bridge,5074
26/3/2017,19,Southbank,3031
26/3/2017,20,Southbank,2561
26/3/2017,21,Southbank,2002
27/3/2017,10,Bourke Street Mall (North),1812
27/3/2017,11,Bourke Street Mall (North),2379
27/3/2017,12,Southbank,3453
27/3/2017,13,Bourke Street Mall (North),3365
27/3/2017,14,Bourke Street Mall (North),2198
27/3/2017,15,Spencer St-Collins St (North),2164
27/3/2017,16,Spencer St-Collins St (North),3484
27/3/2017,17,Spencer St-Collins St (North),4721
27/3/2017,18,Southbank,2987
27/3/2017,19,Southbank,2302
27/3/2017,20,Southbank,2020
27/3/2017,21,Southbank,1404
28/3/2017,10,Spencer St-Collins St (North),1746
28/3/2017,11,Bourke Street Mall (North),2101
28/3/2017,12,Southbank,3668
28/3/2017,13,Bourke Street Mall (North),3913
28/3/2017,14,Bourke Street Mall (North),2991
28/3/2017,15,Bourke Street Mall (North),2876
28/3/2017,16,Spencer St-Collins St (North),3596
28/3/2017,17,Flinders St Station Underpass,5086
28/3/2017,18,Southbank,3701
28/3/2017,19,Southbank,2583
28/3/2017,20,Melbourne Central,2179
28/3/2017,21,Southbank,1859
29/3/2017,10,Spencer St-Collins St (North),1788
29/3/2017,11,Bourke Street Mall (North),2088
29/3/2017,12,Southbank,3518
29/3/2017,13,Bourke Street Mall (North),3690
29/3/2017,14,Bourke Street Mall (North),3031
29/3/2017,15,Bourke Street Mall (North),2779
29/3/2017,16,Spencer St-Collins St (North),3551
29/3/2017,17,Flinders St Station Underpass,5046
29/3/2017,18,Southbank,3554
29/3/2017,19,Southbank,2434
29/3/2017,20,Melbourne Central,1911
29/3/2017,21,Melbourne Central,1358
30/3/2017,10,Spencer St-Collins St (North),1752
30/3/2017,11,Bourke Street Mall (North),1911
30/3/2017,12,Bourke Street Mall (North),3331
30/3/2017,13,Bourke Street Mall (North),3464
30/3/2017,14,Bourke Street Mall (North),3000
30/3/2017,15,Bourke Street Mall (North),2980
30/3/2017,16,Spencer St-Collins St (North),3594
30/3/2017,17,Flinders St Station Underpass,5075
30/3/2017,18,Southbank,3585
30/3/2017,19,Southbank,2572
30/3/2017,20,Melbourne Central,2148
30/3/2017,21,Melbourne Central,1824
31/3/2017,10,Southbank,2143
31/3/2017,11,Southbank,2313
31/3/2017,12,Southbank,4008
31/3/2017,13,Southbank,4207
31/3/2017,14,Bourke Street Mall (North),3447
31/3/2017,15,Bourke Street Mall (North),3449
31/3/2017,16,Southbank,4479
31/3/2017,17,Southbank,6395
31/3/2017,18,Southbank,6400
31/3/2017,19,Southbank,5375
31/3/2017,20,Southbank,4816
31/3/2017,21,Southbank,4023
1/4/2017,10,Southbank,2110
1/4/2017,11,Southbank,3228
1/4/2017,12,Southbank,4542
1/4/2017,13,Southbank,5111
1/4/2017,14,Southbank,5140
1/4/2017,15,Southbank,5558
1/4/2017,16,Southbank,6117
1/4/2017,17,Southbank,6561
1/4/2017,18,Southbank,6357
1/4/2017,19,Southbank,6009
1/4/2017,20,Southbank,5129
1/4/2017,21,Southbank,4061
2/4/2017,10,Southbank,2274
2/4/2017,11,Southbank,3285
2/4/2017,12,Southbank,5134
2/4/2017,13,Southbank,6017
2/4/2017,14,Southbank,6030
2/4/2017,15,Southbank,5280
2/4/2017,16,Southbank,5162
2/4/2017,17,Southbank,4784
2/4/2017,18,Southbank,4705
2/4/2017,19,Southbank,3940
2/4/2017,20,Southbank,2696
2/4/2017,21,Southbank,1536
3/4/2017,10,Princes Bridge,2375
3/4/2017,11,Bourke Street Mall (North),2491
3/4/2017,12,Southbank,4211
3/4/2017,13,Southbank,4230
3/4/2017,14,Bourke Street Mall (North),3548
3/4/2017,15,Bourke Street Mall (North),3435
3/4/2017,16,Spencer St-Collins St (North),3545
3/4/2017,17,Flinders St Station Underpass,5299
3/4/2017,18,Southbank,3469
3/4/2017,19,Melbourne Central,2505
3/4/2017,20,Melbourne Central,1805
3/4/2017,21,Flinders St-Elizabeth St (East),1389
4/4/2017,10,Collins Place (South),1952
4/4/2017,11,Bourke Street Mall (North),2333
4/4/2017,12,Southbank,4068
4/4/2017,13,Bourke Street Mall (North),4337
4/4/2017,14,Bourke Street Mall (North),3370
4/4/2017,15,Bourke Street Mall (North),3199
4/4/2017,16,Spencer St-Collins St (North),3684
4/4/2017,17,Southbank,5354
4/4/2017,18,Southbank,3846
4/4/2017,19,Southbank,2683
4/4/2017,20,Melbourne Central,2299
4/4/2017,21,Southbank,1583
5/4/2017,10,Vic Arts Centre,1861
5/4/2017,11,Bourke Street Mall (North),2554
5/4/2017,12,Southbank,4024
5/4/2017,13,Bourke Street Mall (North),4231
5/4/2017,14,Bourke Street Mall (North),3469
5/4/2017,15,Bourke Street Mall (North),3254
5/4/2017,16,Spencer St-Collins St (North),3523
5/4/2017,17,Flinders St Station Underpass,5346
5/4/2017,18,Southbank,4232
5/4/2017,19,Southbank,3025
5/4/2017,20,Melbourne Central,2296
5/4/2017,21,Melbourne Central,1753
6/4/2017,10,Vic Arts Centre,2057
6/4/2017,11,Bourke Street Mall (North),2410
6/4/2017,12,Southbank,4412
6/4/2017,13,Bourke Street Mall (North),4120
6/4/2017,14,Bourke Street Mall (North),3238
6/4/2017,15,Bourke Street Mall (North),3262
6/4/2017,16,Spencer St-Collins St (North),3643
6/4/2017,17,Flinders St Station Underpass,5203
6/4/2017,18,Southbank,4505
6/4/2017,19,Southbank,3054
6/4/2017,20,Southbank,2375
6/4/2017,21,Southbank,2014
7/4/2017,10,Southbank,2021
7/4/2017,11,Bourke Street Mall (North),2619
7/4/2017,12,Southbank,4437
7/4/2017,13,Bourke Street Mall (North),4503
7/4/2017,14,Bourke Street Mall (North),3579
7/4/2017,15,Bourke Street Mall (North),3569
7/4/2017,16,Southbank,3995
7/4/2017,17,Southbank,5506
7/4/2017,18,Southbank,5061
7/4/2017,19,Southbank,3522
7/4/2017,20,Southbank,3258
7/4/2017,21,Princes Bridge,3561
8/4/2017,10,Southbank,2118
8/4/2017,11,Bourke Street Mall (North),2793
8/4/2017,12,Bourke Street Mall (North),3432
8/4/2017,13,Bourke Street Mall (North),3672
8/4/2017,14,Bourke Street Mall (North),3736
8/4/2017,15,Bourke Street Mall (North),3834
8/4/2017,16,Princes Bridge,3065
8/4/2017,17,Bourke Street Mall (North),2349
8/4/2017,18,Vic Arts Centre,2938
8/4/2017,19,Southbank,2825
8/4/2017,20,Melbourne Central,2024
8/4/2017,21,Princes Bridge,2240
9/4/2017,10,Southbank,7092
9/4/2017,11,Vic Arts Centre,4188
9/4/2017,12,Princes Bridge,2881
9/4/2017,13,Bourke Street Mall (North),2759
9/4/2017,14,Bourke Street Mall (North),2840
9/4/2017,15,Bourke Street Mall (North),2685
9/4/2017,16,Bourke Street Mall (North),2607
9/4/2017,17,Bourke Street Mall (North),1986
9/4/2017,18,Birrarung Marr,2951
9/4/2017,19,Melbourne Central,1612
9/4/2017,20,Melbourne Central,1490
9/4/2017,21,Melbourne Central,1066
10/4/2017,10,Spencer St-Collins St (North),1584
10/4/2017,11,Bourke Street Mall (North),2055
10/4/2017,12,Bourke Street Mall (North),3217
10/4/2017,13,Bourke Street Mall (North),3608
10/4/2017,14,Bourke Street Mall (North),3115
10/4/2017,15,Bourke Street Mall (North),2970
10/4/2017,16,Spencer St-Collins St (North),3344
10/4/2017,17,Flinders St Station Underpass,4751
10/4/2017,18,Flinders St-Elizabeth St (East),3019
10/4/2017,19,Melbourne Central,2181
10/4/2017,20,Melbourne Central,1686
10/4/2017,21,Melbourne Central,1150
11/4/2017,10,Flinders St-Elizabeth St (East),1844
11/4/2017,11,Bourke Street Mall (North),2448
11/4/2017,12,Bourke Street Mall (North),4002
11/4/2017,13,Bourke Street Mall (North),4270
11/4/2017,14,Bourke Street Mall (North),3432
11/4/2017,15,Bourke Street Mall (North),3641
11/4/2017,16,Spencer St-Collins St (North),3481
11/4/2017,17,Flinders St Station Underpass,5024
11/4/2017,18,Southbank,3711
11/4/2017,19,Melbourne Central,2622
11/4/2017,20,Melbourne Central,2167
11/4/2017,21,Melbourne Central,1679
12/4/2017,10,Flinders St-Elizabeth St (East),1796
12/4/2017,11,Bourke Street Mall (North),2511
12/4/2017,12,Southbank,3846
12/4/2017,13,Bourke Street Mall (North),4304
12/4/2017,14,Bourke Street Mall (North),3803
12/4/2017,15,Bourke Street Mall (North),3731
12/4/2017,16,Bourke Street Mall (North),3513
12/4/2017,17,Flinders St Station Underpass,5004
12/4/2017,18,Southbank,3810
12/4/2017,19,Vic Arts Centre,3064
12/4/2017,20,Melbourne Central,2503
12/4/2017,21,Melbourne Central,1898
13/4/2017,10,Flinders St-Elizabeth St (East),1823
13/4/2017,11,Bourke Street Mall (North),2431
13/4/2017,12,Bourke Street Mall (North),3776
13/4/2017,13,Bourke Street Mall (North),4423
13/4/2017,14,Bourke Street Mall (North),3987
13/4/2017,15,Bourke Street Mall (North),3790
13/4/2017,16,Bourke Street Mall (North),3899
13/4/2017,17,Southbank,5012
13/4/2017,18,Southbank,4080
13/4/2017,19,Melbourne Central,3102
13/4/2017,20,Melbourne Central,2808
13/4/2017,21,Princes Bridge,3023
14/4/2017,10,Southbank,1960
14/4/2017,11,Southbank,2660
14/4/2017,12,Southbank,3286
14/4/2017,13,Southbank,3696
14/4/2017,14,Southbank,4030
14/4/2017,15,Southbank,3915
14/4/2017,16,Southbank,4063
14/4/2017,17,Southbank,4211
14/4/2017,18,Southbank,3731
14/4/2017,19,Southbank,3594
14/4/2017,20,Southbank,2887
14/4/2017,21,Southbank,2597
15/4/2017,10,Bourke Street Mall (South),1910
15/4/2017,11,Bourke Street Mall (North),3004
15/4/2017,12,Bourke Street Mall (North),3538
15/4/2017,13,Bourke Street Mall (North),4397
15/4/2017,14,Bourke Street Mall (North),4668
15/4/2017,15,Bourke Street Mall (North),4540
15/4/2017,16,Bourke Street Mall (North),4266
15/4/2017,17,Southbank,4060
15/4/2017,18,Southbank,4018
15/4/2017,19,Southbank,3539
15/4/2017,20,Southbank,3394
15/4/2017,21,Southbank,2545
16/4/2017,10,Southbank,1746
16/4/2017,11,Southbank,2224
16/4/2017,12,Bourke Street Mall (North),2936
16/4/2017,13,Bourke Street Mall (North),3300
16/4/2017,14,Bourke Street Mall (North),3793
16/4/2017,15,Bourke Street Mall (North),3634
16/4/2017,16,Southbank,3824
16/4/2017,17,Southbank,3719
16/4/2017,18,Southbank,3783
16/4/2017,19,Southbank,3429
16/4/2017,20,Southbank,2932
16/4/2017,21,Southbank,2461
17/4/2017,10,Southbank,1898
17/4/2017,11,Southbank,2587
17/4/2017,12,Southbank,3050
17/4/2017,13,Bourke Street Mall (North),3435
17/4/2017,14,Birrarung Marr,4085
17/4/2017,15,Bourke Street Mall (North),3446
17/4/2017,16,Bourke Street Mall (North),3197
17/4/2017,17,Bourke Street Mall (North),2894
17/4/2017,18,Birrarung Marr,4929
17/4/2017,19,Melbourne Central,2271
17/4/2017,20,Southbank,1767
17/4/2017,21,Melbourne Central,1442
18/4/2017,10,Flinders St-Elizabeth St (East),1675
18/4/2017,11,Bourke Street Mall (North),2091
18/4/2017,12,Bourke Street Mall (North),3521
18/4/2017,13,Bourke Street Mall (North),4079
18/4/2017,14,Bourke Street Mall (North),3394
18/4/2017,15,Bourke Street Mall (North),3268
18/4/2017,16,Spencer St-Collins St (North),3277
18/4/2017,17,Flinders St Station Underpass,5249
18/4/2017,18,Flinders St-Elizabeth St (East),3199
18/4/2017,19,Melbourne Central,2268
18/4/2017,20,Melbourne Central,1942
18/4/2017,21,Melbourne Central,1586
19/4/2017,10,Spencer St-Collins St (North),1758
19/4/2017,11,Bourke Street Mall (North),2257
19/4/2017,12,Southbank,3476
19/4/2017,13,Bourke Street Mall (North),3857
19/4/2017,14,Bourke Street Mall (North),3261
19/4/2017,15,Bourke Street Mall (North),3045
19/4/2017,16,Spencer St-Collins St (North),3564
19/4/2017,17,Flinders St Station Underpass,5023
19/4/2017,18,Southbank,3562
19/4/2017,19,Melbourne Central,2591
19/4/2017,20,Melbourne Central,2147
19/4/2017,21,Melbourne Central,1740
20/4/2017,10,Spencer St-Collins St (North),1850
20/4/2017,11,Bourke Street Mall (North),2210
