date,street,average
5/27/2017,Monash Rd-Swanston St (West),106.33
5/28/2017,Victoria Point,64.79
5/29/2017,Lygon Street (East),137.96
5/30/2017,Flinders St-Spark Lane,137.13
5/31/2017,Lygon Street (East),131.46
6/1/2017,New Quay,141.46
6/2/2017,Flinders St-Spark Lane,159.21
6/3/2017,Flinders St-Spring St (West),103.83
6/4/2017,Tin Alley-Swanston St (West),66.29
6/5/2017,Lygon Street (East),134.79
6/6/2017,Tin Alley-Swanston St (West),113.96
6/7/2017,Lygon Street (East),137.25
6/8/2017,New Quay,130.33
6/9/2017,Monash Rd-Swanston St (West),199.38
6/10/2017,Monash Rd-Swanston St (West),101.21
6/11/2017,Alfred Place,87.33
6/12/2017,Alfred Place,62.83
6/13/2017,Lygon Street (East),131.67
6/14/2017,Lygon Street (East),134.46
6/15/2017,Lygon Street (East),144.25
6/16/2017,Flinders St-Spark Lane,165.63
6/17/2017,Tin Alley-Swanston St (West),71.75
6/18/2017,Alfred Place,60.21
6/19/2017,Tin Alley-Swanston St (West),93.46
6/20/2017,QV Market-Peel St,115.21
6/21/2017,QV Market-Peel St,118.63
6/22/2017,Tin Alley-Swanston St (West),125.50
6/23/2017,QV Market-Peel St,126.96
6/24/2017,Grattan St-Swanston St (West),61.50
6/25/2017,Tin Alley-Swanston St (West),53.67
6/26/2017,Grattan St-Swanston St (West),62.83
6/27/2017,Grattan St-Swanston St (West),76.63
6/28/2017,Tin Alley-Swanston St (West),91.58
6/29/2017,Tin Alley-Swanston St (West),94.08
6/30/2017,Waterfront City,126.50
7/1/2017,Victoria Point,112.21
7/2/2017,Alfred Place,71.63
7/3/2017,Tin Alley-Swanston St (West),81.75
7/4/2017,QV Market-Peel St,116.96
7/5/2017,Lygon Street (East),145.13
7/6/2017,Lygon Street (East),150.67
7/7/2017,Grattan St-Swanston St (West),185.67
7/8/2017,Monash Rd-Swanston St (West),77.75
7/9/2017,Grattan St-Swanston St (West),61.54
7/10/2017,Flinders St-Spark Lane,146.29
7/11/2017,Lygon Street (East),148.88
7/12/2017,Flinders St-Spark Lane,157.38
7/13/2017,New Quay,133.50
7/14/2017,Grattan St-Swanston St (West),139.58
7/15/2017,Monash Rd-Swanston St (West),97.54
7/16/2017,Victoria Point,53.21
7/17/2017,New Quay,107.88
7/18/2017,Flinders St-Spark Lane,128.79
7/19/2017,Flinders St-Spark Lane,116.79
7/20/2017,Flinders St-Spark Lane,121.42
7/21/2017,New Quay,168.33
7/22/2017,Monash Rd-Swanston St (West),85.33
7/23/2017,Alfred Place,64.71
7/24/2017,Flinders St-Spark Lane,135.92
7/25/2017,Flinders St-Spark Lane,133.71
7/26/2017,Lygon Street (East),135.13
7/27/2017,Lygon Street (East),140.46
7/28/2017,New Quay,174.46
7/29/2017,Flinders St-Spring St (West),99.17
7/30/2017,Victoria Point,82.42
7/31/2017,QV Market-Peel St,92.92
8/1/2017,QV Market-Peel St,120.29
8/2/2017,QV Market-Peel St,128.42
8/3/2017,New Quay,93.08
8/4/2017,QV Market-Peel St,121.33
8/5/2017,Victoria Point,81.17
8/6/2017,Victoria Point,57.04
8/7/2017,QV Market-Peel St,91.17
8/8/2017,Lygon Street (East),136.67
8/9/2017,Lygon Street (East),138.46
8/10/2017,New Quay,130.50
8/11/2017,Tin Alley-Swanston St (West),158.79
8/12/2017,Tin Alley-Swanston St (West),72.33
8/13/2017,Alfred Place,71.21
8/14/2017,Lygon Street (East),142.83
8/15/2017,Lygon Street (East),124.21
8/16/2017,New Quay,152.42
8/17/2017,Lygon Street (East),128.92
8/18/2017,Flinders St-Spark Lane,134.04
8/19/2017,Victoria Point,89.00
8/20/2017,Alfred Place,70.83
8/21/2017,Flinders St-Spark Lane,110.63
8/22/2017,Lygon Street (East),123.92
8/23/2017,Lygon Street (East),115.83
8/24/2017,Lygon Street (East),133.42
8/25/2017,Tin Alley-Swanston St (West),152.67
8/26/2017,Tin Alley-Swanston St (West),76.79
8/27/2017,Alfred Place,63.00
8/28/2017,New Quay,102.42
8/29/2017,New Quay,110.08
8/30/2017,New Quay,113.54
8/31/2017,QV Market-Peel St,123.71
