"date","street","average"
"5/24/2017","Flinders St-Elizabeth St (East)","2346.42"
"5/25/2017","Flinders St-Elizabeth St (East)","2391.25"
"5/26/2017","Southbank","2891.00"
"5/27/2017","Southbank","2710.75"
"5/28/2017","Bourke Street Mall (North)","1876.42"
"5/29/2017","Flinders St-Elizabeth St (East)","2217.17"
"5/30/2017","Flinders St-Elizabeth St (East)","2217.17"
"5/31/2017","Flinders St-Elizabeth St (East)","2256.00"
"6/1/2017","Bourke Street Mall (North)","2329.67"
"6/2/2017","Town Hall (West)","2762.42"
"6/3/2017","Southbank","2708.67"
"6/4/2017","Southbank","2339.75"
"6/5/2017","Spencer St-Collins St (North)","2130.08"
"6/6/2017","Town Hall (West)","2190.33"
"6/7/2017","Town Hall (West)","2315.17"
"6/8/2017","Bourke Street Mall (North)","2408.33"
"6/9/2017","Southbank","3211.92"
"6/10/2017","Southbank","3449.42"
"6/11/2017","Southbank","3160.42"
"6/12/2017","Bourke Street Mall (North)","2139.42"
"6/13/2017","Town Hall (West)","2242.00"
"6/14/2017","Town Hall (West)","2324.92"
"6/15/2017","Bourke Street Mall (North)","2415.50"
"6/16/2017","Bourke Street Mall (North)","2986.17"
"6/17/2017","Southbank","3013.08"
"6/18/2017","Bourke Street Mall (North)","2191.42"
"6/19/2017","Town Hall (West)","2207.08"
"6/20/2017","Town Hall (West)","2412.33"
"6/21/2017","Town Hall (West)","2287.75"
"6/22/2017","Bourke Street Mall (North)","2533.25"
"6/23/2017","Bourke Street Mall (North)","2995.00"
"6/24/2017","Bourke Street Mall (North)","2765.33"
"6/25/2017","Bourke Street Mall (North)","2351.75"
"6/26/2017","Town Hall (West)","2321.83"
"6/27/2017","Town Hall (West)","2359.42"
"6/28/2017","Bourke Street Mall (North)","2433.42"
"6/29/2017","Bourke Street Mall (North)","2413.67"
"6/30/2017","Bourke Street Mall (North)","3043.67"
"7/1/2017","Southbank","3106.00"
"7/2/2017","Southbank","2865.83"
"7/3/2017","Town Hall (West)","2447.08"
"7/4/2017","Southbank","2703.83"
"7/5/2017","Town Hall (West)","2826.92"
"7/6/2017","Southbank","3046.75"
"7/7/2017","Southbank","3538.00"
"7/8/2017","Southbank","3342.83"
"7/9/2017","Southbank","3046.25"
"7/10/2017","Southbank","2759.67"
"7/11/2017","Southbank","2993.08"
"7/12/2017","Southbank","2989.58"
"7/13/2017","Town Hall (West)","2869.92"
"7/14/2017","Town Hall (West)","2950.75"
"7/15/2017","Southbank","3315.08"
"7/16/2017","Bourke Street Mall (North)","2130.42"
"7/17/2017","Town Hall (West)","2199.83"
"7/18/2017","Spencer St-Collins St (North)","2147.58"
"7/19/2017","Town Hall (West)","2201.33"
"7/20/2017","Town Hall (West)","2292.67"
"7/21/2017","Bourke Street Mall (North)","2886.08"
"7/22/2017","Bourke Street Mall (North)","2534.75"
"7/23/2017","Bourke Street Mall (North)","2054.83"
"7/24/2017","Town Hall (West)","2324.83"
"7/25/2017","Town Hall (West)","2215.00"
"7/26/2017","Town Hall (West)","2342.50"
"7/27/2017","Bourke Street Mall (North)","2461.58"
"7/28/2017","Town Hall (West)","2965.58"
"7/29/2017","Bourke Street Mall (North)","2765.75"
"7/30/2017","Southbank","2635.33"
"7/31/2017","Southbank","2217.83"
"8/1/2017","Southbank","2280.42"
"8/2/2017","Town Hall (West)","2318.75"
"8/3/2017","Spencer St-Collins St (North)","2224.92"
"8/4/2017","Town Hall (West)","3016.25"
"8/5/2017","Bourke Street Mall (North)","2711.58"
"8/6/2017","Bourke Street Mall (North)","1968.08"
"8/7/2017","Town Hall (West)","2162.00"
"8/8/2017","Town Hall (West)","2413.50"
"8/9/2017","Flinders St-Elizabeth St (East)","2446.92"
"8/10/2017","Flinders St-Elizabeth St (East)","2424.25"
"8/11/2017","Bourke Street Mall (North)","2860.17"
"8/12/2017","Town Hall (West)","2680.17"
"8/13/2017","Southbank","2553.42"
"8/14/2017","Flinders St-Elizabeth St (East)","2453.92"
"8/15/2017","Flinders St-Elizabeth St (East)","2225.00"
"8/16/2017","Flinders St-Elizabeth St (East)","2436.08"
"8/17/2017","Flinders St-Elizabeth St (East)","2305.75"
"8/18/2017","Town Hall (West)","2484.50"
"8/19/2017","Southbank","2583.17"
"8/20/2017","Southbank","2524.92"
"8/21/2017","Spencer St-Collins St (North)","2093.33"
"8/22/2017","Southbank","2259.50"
"8/23/2017","Spencer St-Collins St (North)","2271.75"
"8/24/2017","Bourke Street Mall (North)","2370.83"
"8/25/2017","Bourke Street Mall (North)","2845.75"
"8/26/2017","Town Hall (West)","3228.33"
"8/27/2017","Bourke Street Mall (North)","1967.58"
"8/28/2017","Southbank","2210.75"
"8/29/2017","Southbank","2177.25"
"8/30/2017","Town Hall (West)","2286.67"
"8/31/2017","Bourke Street Mall (North)","2468.08"
"9/1/2017","Bourke Street Mall (North)","3378.08"
"9/2/2017","Bourke Street Mall (North)","2658.42"
"9/3/2017","Bourke Street Mall (North)","2036.58"
"9/4/2017","Spencer St-Collins St (North)","2087.25"
"9/5/2017","Spencer St-Collins St (North)","2197.58"
"9/6/2017","Spencer St-Collins St (North)","2181.58"
"9/7/2017","Town Hall (West)","2275.08"
"9/8/2017","Bourke Street Mall (North)","2687.42"
"9/9/2017","Bourke Street Mall (North)","2598.33"
"9/10/2017","Bourke Street Mall (North)","2176.00"
"9/11/2017","Town Hall (West)","2110.08"
"9/12/2017","Town Hall (West)","2118.33"
"9/13/2017","Spencer St-Collins St (North)","2195.42"
"9/14/2017","Bourke Street Mall (North)","2275.00"
"9/15/2017","Bourke Street Mall (North)","2484.75"
"9/16/2017","Bourke Street Mall (North)","2580.17"
"9/17/2017","Southbank","2719.58"
"9/18/2017","Flinders St-Elizabeth St (East)","2327.92"
"9/19/2017","Flinders St-Elizabeth St (East)","2432.00"
"9/20/2017","Flinders St-Elizabeth St (East)","2503.92"
"9/21/2017","Bourke Street Mall (North)","2532.83"
"9/22/2017","Southbank","3182.42"
